date,state,county,candidate,party,candidatevotes,totalvotes
11/06/1956,OH,Gallia,Stevenson,democrat,2877,9917
11/06/1956,OH,Gallia,Eisenhower,republican,7040,9917
11/06/1956,OH,Gallia,Andrews,southern democrat,0,9917
11/06/1956,OH,Gallia,Other,other,0,9917
11/06/1956,OH,Geauga,Stevenson,democrat,4818,15789
11/06/1956,OH,Geauga,Eisenhower,republican,10971,15789
11/06/1956,OH,Geauga,Andrews,southern democrat,0,15789
11/06/1956,OH,Geauga,Other,other,0,15789
11/06/1956,OH,Greene,Stevenson,democrat,9861,25332
11/06/1956,OH,Greene,Eisenhower,republican,15471,25332
11/06/1956,OH,Greene,Andrews,southern democrat,0,25332
11/06/1956,OH,Greene,Other,other,0,25332
11/06/1956,OH,Guernsey,Stevenson,democrat,5149,15373
11/06/1956,OH,Guernsey,Eisenhower,republican,10224,15373
11/06/1956,OH,Guernsey,Andrews,southern democrat,0,15373
11/06/1956,OH,Guernsey,Other,other,0,15373
11/06/1956,OH,Hamilton,Stevenson,democrat,113797,335806
11/06/1956,OH,Hamilton,Eisenhower,republican,222009,335806
11/06/1956,OH,Hamilton,Andrews,southern democrat,0,335806
11/06/1956,OH,Hamilton,Other,other,0,335806
11/06/1956,OH,Hancock,Stevenson,democrat,5289,21002
11/06/1956,OH,Hancock,Eisenhower,republican,15713,21002
11/06/1956,OH,Hancock,Andrews,southern democrat,0,21002
11/06/1956,OH,Hancock,Other,other,0,21002
11/06/1956,OH,Hardin,Stevenson,democrat,4556,13605
11/06/1956,OH,Hardin,Eisenhower,republican,9049,13605
11/06/1956,OH,Hardin,Andrews,southern democrat,0,13605
11/06/1956,OH,Hardin,Other,other,0,13605
11/06/1956,OH,Harrison,Stevenson,democrat,2831,8275
11/06/1956,OH,Harrison,Eisenhower,republican,5444,8275
11/06/1956,OH,Harrison,Andrews,southern democrat,0,8275
11/06/1956,OH,Harrison,Other,other,0,8275
11/06/1956,OH,Henry,Stevenson,democrat,2775,10939
11/06/1956,OH,Henry,Eisenhower,republican,8164,10939
11/06/1956,OH,Henry,Andrews,southern democrat,0,10939
11/06/1956,OH,Henry,Other,other,0,10939
11/06/1956,OH,Highland,Stevenson,democrat,4826,13223
11/06/1956,OH,Highland,Eisenhower,republican,8397,13223
11/06/1956,OH,Highland,Andrews,southern democrat,0,13223
11/06/1956,OH,Highland,Other,other,0,13223
11/06/1956,OH,Hocking,Stevenson,democrat,3334,8259
11/06/1956,OH,Hocking,Eisenhower,republican,4925,8259
11/06/1956,OH,Hocking,Andrews,southern democrat,0,8259
11/06/1956,OH,Hocking,Other,other,0,8259
11/06/1956,OH,Holmes,Stevenson,democrat,1795,5750
11/06/1956,OH,Holmes,Eisenhower,republican,3955,5750
11/06/1956,OH,Holmes,Andrews,southern democrat,0,5750
11/06/1956,OH,Holmes,Other,other,0,5750
11/06/1956,OH,Huron,Stevenson,democrat,4418,16626
11/06/1956,OH,Huron,Eisenhower,republican,12208,16626
11/06/1956,OH,Huron,Andrews,southern democrat,0,16626
11/06/1956,OH,Huron,Other,other,0,16626
11/06/1956,OH,Jackson,Stevenson,democrat,4432,12538
11/06/1956,OH,Jackson,Eisenhower,republican,8106,12538
11/06/1956,OH,Jackson,Andrews,southern democrat,0,12538
11/06/1956,OH,Jackson,Other,other,0,12538
11/06/1956,OH,Jefferson,Stevenson,democrat,21703,43865
11/06/1956,OH,Jefferson,Eisenhower,republican,22162,43865
11/06/1956,OH,Jefferson,Andrews,southern democrat,0,43865
11/06/1956,OH,Jefferson,Other,other,0,43865
11/06/1956,OH,Knox,Stevenson,democrat,4958,17305
11/06/1956,OH,Knox,Eisenhower,republican,12347,17305
11/06/1956,OH,Knox,Andrews,southern democrat,0,17305
11/06/1956,OH,Knox,Other,other,0,17305
11/06/1956,OH,Lake,Stevenson,democrat,19718,50735
11/06/1956,OH,Lake,Eisenhower,republican,31017,50735
11/06/1956,OH,Lake,Andrews,southern democrat,0,50735
11/06/1956,OH,Lake,Other,other,0,50735
11/06/1956,OH,Lawrence,Stevenson,democrat,7492,20099
11/06/1956,OH,Lawrence,Eisenhower,republican,12607,20099
11/06/1956,OH,Lawrence,Andrews,southern democrat,0,20099
11/06/1956,OH,Lawrence,Other,other,0,20099
11/06/1956,OH,Licking,Stevenson,democrat,10581,32493
11/06/1956,OH,Licking,Eisenhower,republican,21912,32493
11/06/1956,OH,Licking,Andrews,southern democrat,0,32493
11/06/1956,OH,Licking,Other,other,0,32493
11/06/1956,OH,Logan,Stevenson,democrat,4226,15455
11/06/1956,OH,Logan,Eisenhower,republican,11229,15455
11/06/1956,OH,Logan,Andrews,southern democrat,0,15455
11/06/1956,OH,Logan,Other,other,0,15455
11/06/1956,OH,Lorain,Stevenson,democrat,26774,67114
11/06/1956,OH,Lorain,Eisenhower,republican,40340,67114
11/06/1956,OH,Lorain,Andrews,southern democrat,0,67114
11/06/1956,OH,Lorain,Other,other,0,67114
11/06/1956,OH,Lucas,Stevenson,democrat,88598,189099
11/06/1956,OH,Lucas,Eisenhower,republican,100501,189099
11/06/1956,OH,Lucas,Andrews,southern democrat,0,189099
11/06/1956,OH,Lucas,Other,other,0,189099
11/06/1956,OH,Madison,Stevenson,democrat,2875,9358
11/06/1956,OH,Madison,Eisenhower,republican,6483,9358
11/06/1956,OH,Madison,Andrews,southern democrat,0,9358
11/06/1956,OH,Madison,Other,other,0,9358
11/06/1956,OH,Mahoning,Stevenson,democrat,59126,123118
11/06/1956,OH,Mahoning,Eisenhower,republican,63992,123118
11/06/1956,OH,Mahoning,Andrews,southern democrat,0,123118
11/06/1956,OH,Mahoning,Other,other,0,123118
11/06/1956,OH,Marion,Stevenson,democrat,7425,22550
11/06/1956,OH,Marion,Eisenhower,republican,15125,22550
11/06/1956,OH,Marion,Andrews,southern democrat,0,22550
11/06/1956,OH,Marion,Other,other,0,22550
11/06/1956,OH,Medina,Stevenson,democrat,6365,21520
11/06/1956,OH,Medina,Eisenhower,republican,15155,21520
11/06/1956,OH,Medina,Andrews,southern democrat,0,21520
11/06/1956,OH,Medina,Other,other,0,21520
11/06/1956,OH,Meigs,Stevenson,democrat,2783,9376
11/06/1956,OH,Meigs,Eisenhower,republican,6593,9376
11/06/1956,OH,Meigs,Andrews,southern democrat,0,9376
11/06/1956,OH,Meigs,Other,other,0,9376
11/06/1956,OH,Mercer,Stevenson,democrat,4272,13728
11/06/1956,OH,Mercer,Eisenhower,republican,9456,13728
11/06/1956,OH,Mercer,Andrews,southern democrat,0,13728
11/06/1956,OH,Mercer,Other,other,0,13728
11/06/1956,OH,Miami,Stevenson,democrat,9229,29364
11/06/1956,OH,Miami,Eisenhower,republican,20135,29364
11/06/1956,OH,Miami,Andrews,southern democrat,0,29364
11/06/1956,OH,Miami,Other,other,0,29364
11/06/1956,OH,Monroe,Stevenson,democrat,2578,6316
11/06/1956,OH,Monroe,Eisenhower,republican,3738,6316
11/06/1956,OH,Monroe,Andrews,southern democrat,0,6316
11/06/1956,OH,Monroe,Other,other,0,6316
11/06/1956,OH,Montgomery,Stevenson,democrat,76270,183548
11/06/1956,OH,Montgomery,Eisenhower,republican,107278,183548
11/06/1956,OH,Montgomery,Andrews,southern democrat,0,183548
11/06/1956,OH,Montgomery,Other,other,0,183548
11/06/1956,OH,Morgan,Stevenson,democrat,1466,5600
11/06/1956,OH,Morgan,Eisenhower,republican,4134,5600
11/06/1956,OH,Morgan,Andrews,southern democrat,0,5600
11/06/1956,OH,Morgan,Other,other,0,5600
11/06/1956,OH,Morrow,Stevenson,democrat,2339,8224
11/06/1956,OH,Morrow,Eisenhower,republican,5885,8224
11/06/1956,OH,Morrow,Andrews,southern democrat,0,8224
11/06/1956,OH,Morrow,Other,other,0,8224
11/06/1956,OH,Muskingum,Stevenson,democrat,10110,32898
11/06/1956,OH,Muskingum,Eisenhower,republican,22788,32898
11/06/1956,OH,Muskingum,Andrews,southern democrat,0,32898
11/06/1956,OH,Muskingum,Other,other,0,32898
11/06/1956,OH,Noble,Stevenson,democrat,1943,5804
11/06/1956,OH,Noble,Eisenhower,republican,3861,5804
11/06/1956,OH,Noble,Andrews,southern democrat,0,5804
11/06/1956,OH,Noble,Other,other,0,5804
11/06/1956,OH,Ottawa,Stevenson,democrat,5176,13982
11/06/1956,OH,Ottawa,Eisenhower,republican,8806,13982
11/06/1956,OH,Ottawa,Andrews,southern democrat,0,13982
11/06/1956,OH,Ottawa,Other,other,0,13982
11/06/1956,OH,Paulding,Stevenson,democrat,2170,7055
11/06/1956,OH,Paulding,Eisenhower,republican,4885,7055
11/06/1956,OH,Paulding,Andrews,southern democrat,0,7055
11/06/1956,OH,Paulding,Other,other,0,7055
11/06/1956,OH,Perry,Stevenson,democrat,4123,11634
11/06/1956,OH,Perry,Eisenhower,republican,7511,11634
11/06/1956,OH,Perry,Andrews,southern democrat,0,11634
11/06/1956,OH,Perry,Other,other,0,11634
11/06/1956,OH,Pickaway,Stevenson,democrat,4509,11465
11/06/1956,OH,Pickaway,Eisenhower,republican,6956,11465
11/06/1956,OH,Pickaway,Andrews,southern democrat,0,11465
11/06/1956,OH,Pickaway,Other,other,0,11465
11/06/1956,OH,Pike,Stevenson,democrat,3863,7310
11/06/1956,OH,Pike,Eisenhower,republican,3447,7310
11/06/1956,OH,Pike,Andrews,southern democrat,0,7310
11/06/1956,OH,Pike,Other,other,0,7310
11/06/1956,OH,Portage,Stevenson,democrat,13128,32071
11/06/1956,OH,Portage,Eisenhower,republican,18943,32071
11/06/1956,OH,Portage,Andrews,southern democrat,0,32071
11/06/1956,OH,Portage,Other,other,0,32071
11/06/1956,OH,Preble,Stevenson,democrat,4574,12673
11/06/1956,OH,Preble,Eisenhower,republican,8099,12673
11/06/1956,OH,Preble,Andrews,southern democrat,0,12673
11/06/1956,OH,Preble,Other,other,0,12673
11/06/1956,OH,Putnam,Stevenson,democrat,3538,11946
11/06/1956,OH,Putnam,Eisenhower,republican,8408,11946
11/06/1956,OH,Putnam,Andrews,southern democrat,0,11946
11/06/1956,OH,Putnam,Other,other,0,11946
11/06/1956,OH,Richland,Stevenson,democrat,13578,39676
11/06/1956,OH,Richland,Eisenhower,republican,26098,39676
11/06/1956,OH,Richland,Andrews,southern democrat,0,39676
11/06/1956,OH,Richland,Other,other,0,39676
11/06/1956,OH,Ross,Stevenson,democrat,7418,20454
11/06/1956,OH,Ross,Eisenhower,republican,13036,20454
11/06/1956,OH,Ross,Andrews,southern democrat,0,20454
11/06/1956,OH,Ross,Other,other,0,20454
